Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
50,0.1,0.6,"[0 1 0 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 1
 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0
 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 0]",0.9721407624633431,0.9667302052785925,0.0021293331666529776,"[0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0
 1 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0
 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0]",0.9618768328445748
50,0.1,0.75,"[0 0 1 1 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 1 0 1 1 0
 1 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0
 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0]",0.9721407624633431,0.9665689149560118,0.0017099565674033124,"[1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1
 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 0
 1 1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 1 0 0 1 0]",0.9618768328445748
50,0.1,0.9,"[0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0
 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0
 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1]",0.9714076246334311,0.9664809384164224,0.0017102080131171048,"[1 1 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0
 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0
 1 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0]",0.9633431085043989
50,0.15,0.6,"[0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1
 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0
 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 1]",0.9721407624633431,0.9669061583577714,0.0022573503078909007,"[1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1
 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0
 0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1]",0.9618768328445748
50,0.15,0.75,"[0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0
 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0
 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0]",0.9736070381231672,0.9663782991202348,0.002479740495440085,"[1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 1 0 1 0 0 1 1
 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 1 0
 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 1]",0.9582111436950147
50,0.15,0.9,"[1 0 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1
 1 1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0]",0.9728739002932552,0.9672140762463343,0.002016009060680023,"[0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0
 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0
 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 1]",0.9626099706744868
50,0.2,0.6,"[1 1 0 0 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0
 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0
 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 1]",0.9728739002932552,0.9668475073313784,0.0019134195108516758,"[1 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1
 1 0 0 1 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0
 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1]",0.9626099706744868
50,0.2,0.75,"[0 0 1 1 0 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 1
 1 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 1 0 1 0 1 0 1 0 0
 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0]",0.9736070381231672,0.9664662756598241,0.002256397678582824,"[0 1 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 1
 1 0 0 1 1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1
 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0]",0.9618768328445748
50,0.2,0.9,"[1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0
 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1
 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1]",0.9721407624633431,0.96658357771261,0.0019512487790202847,"[0 1 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 0
 1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1 0
 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0]",0.9633431085043989
