Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
"[1 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 1 0
 1 1 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0
 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0]",0.9706744868035191,0.9664956011730206,0.0015395894428152479,"[1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 1
 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0
 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1]",0.9640762463343109
"[0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1
 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0]",0.9699413489736071,0.9667888563049853,0.0007367944003754312,"[0 0 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0
 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0
 0 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 0]",0.9655425219941349
"[1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0
 0 0 1 1 1 1 0 1 1 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 0
 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0]",0.969208211143695,0.9670821114369502,0.001246334310850439,"[0 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1
 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0
 1 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 0 1 0 1 1]",0.9640762463343109
"[1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1 0
 0 0 0 0 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1
 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1]",0.9699413489736071,0.9672287390029327,0.0012719465962534792,"[1 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 0 1
 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0
 0 1 1 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0]",0.9655425219941349
"[1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0
 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0
 1 0 0 1 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0]",0.969208211143695,0.965909090909091,0.0016798298002037519,"[1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 1 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0
 1 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 0]",0.9633431085043989
"[0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1
 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1
 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1]",0.9706744868035191,0.9675953079178885,0.0015995179053718042,"[1 0 1 0 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0
 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0 1 0 1 1 0 1
 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 1]",0.9648093841642229
"[1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 1
 0 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1
 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0]",0.9699413489736071,0.9668621700879767,0.0012179800385510363,"[1 1 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 0]",0.9648093841642229
"[0 0 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0
 0 0 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1
 0 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 0 0 1]",0.9706744868035191,0.9668621700879767,0.0013032543133893813,"[1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1
 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0
 0 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0]",0.9648093841642229
"[1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0
 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1
 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 1 0]",0.969208211143695,0.9667888563049853,0.0012719465962534792,"[1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 0
 0 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 0 1
 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 0]",0.9648093841642229
"[0 0 1 1 0 1 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0
 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0
 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1]",0.9706744868035191,0.9669354838709678,0.001427267033279455,"[1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1
 0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1
 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0]",0.9640762463343109
