Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
"[1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0
 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 1 0 1 1
 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0]",0.965,0.9569999999999999,0.0037080992435478367,"[1 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0
 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 1]",0.95
"[1 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0
 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1
 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0]",0.9675,0.9562500000000002,0.0036827299656640626,"[1 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1
 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1
 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0]",0.9475
"[1 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0
 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0
 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0]",0.965,0.9579000000000001,0.0035832945734337886,"[0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 0 0 0 0
 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 0
 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1]",0.95
"[0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0
 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0]",0.97,0.9566000000000001,0.003072458299147443,"[0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1
 0 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1
 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0]",0.95
"[0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0
 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 0 0 0
 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1]",0.9675,0.95625,0.0037165171868296268,"[0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0
 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0]",0.9475
"[1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1
 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 1 0
 0 1 1 0 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0]",0.9675,0.95635,0.0037818646194701408,"[0 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1
 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0
 1 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1]",0.9425
"[0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0
 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1
 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0]",0.965,0.95615,0.0031705677724975395,"[0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1
 1 0 1 1 1 0 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 0]",0.95
"[0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0
 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1
 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1]",0.9675,0.9555500000000001,0.003212864765283472,"[1 1 0 1 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0
 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 1
 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0]",0.95
"[1 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 1
 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0
 0 0 1 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 1]",0.965,0.95635,0.0037486664295453115,"[1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0
 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 0
 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0]",0.95
