Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
50,0.1,0.6,"[1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0
 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 1 0 1 1
 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0]",0.965,0.957,0.0037080992435478,"[1 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0
 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 1]",0.95
50,0.1,0.75,"[1 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0
 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 1
 0 1 1 0 1 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0]",0.9675,0.9562500000000002,0.003682729965664,"[1 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1
 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1
 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0]",0.9475
50,0.1,0.9,"[1 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0
 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0
 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0]",0.965,0.9579,0.0035832945734337,"[0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 0 0 0 0
 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 0
 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1]",0.95
50,0.15,0.6,"[0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 1 1 0 1 0 0
 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0]",0.97,0.9566,0.0030724582991474,"[0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1
 0 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1
 1 0 1 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0]",0.95
50,0.15,0.75,"[0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0
 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 0 0 0
 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1]",0.9675,0.95625,0.0037165171868296,"[0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0
 0 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0]",0.9475
50,0.15,0.9,"[1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1
 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 1 0
 0 1 1 0 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0]",0.9675,0.95635,0.0037818646194701,"[0 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 1 0 1
 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0
 1 1 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1]",0.9425
50,0.2,0.6,"[0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0
 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1
 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0]",0.965,0.95615,0.0031705677724975,"[0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1
 1 0 1 1 1 0 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 0]",0.95
50,0.2,0.75,"[0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0
 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1
 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1]",0.9675,0.95555,0.0032128647652834,"[1 1 0 1 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0
 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 1
 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0]",0.95
50,0.2,0.9,"[1 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 1
 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0
 0 0 1 0 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 1]",0.965,0.95635,0.0037486664295453,"[1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0
 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 0
 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0]",0.95
