Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
20,0.1,0.75,"[1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1
 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 1
 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1 0]",0.965,0.9564999999999998,0.002999999999999996,"[0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 1
 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 1 1
 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 1]",0.9525
20,0.1,0.9,"[1 0 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 1
 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0
 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1]",0.965,0.9564999999999998,0.0027838821814150203,"[0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1
 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0
 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0]",0.9525
20,0.15,0.6,"[1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0
 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0]",0.9675,0.9574999999999999,0.004031128874149275,"[1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0
 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1]",0.95
20,0.15,0.75,"[1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0
 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1
 0 1 0 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1]",0.965,0.9566250000000001,0.003379626458648957,"[1 0 0 1 0 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1
 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0
 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0]",0.95
20,0.15,0.9,"[0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0
 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1
 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0]",0.965,0.9563750000000001,0.0030078023538789864,"[0 0 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1
 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0
 0 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 0]",0.9525
20,0.2,0.6,"[0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 1 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 1 1 0
 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0
 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0]",0.9625,0.9563750000000001,0.00339806930476706,"[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0
 0 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1
 0 0 0 1 0 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1]",0.95
20,0.2,0.75,"[0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0
 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0
 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0]",0.965,0.9561249999999999,0.002558686186307345,"[1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 0
 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 1
 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1]",0.9525
20,0.2,0.9,"[1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0
 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1
 1 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1]",0.965,0.9556250000000001,0.004098399077688755,"[1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 1
 1 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 1 1
 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1]",0.9475
30,0.1,0.6,"[1 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 1 1 0 0 1 1
 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1
 1 1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 1 0 0]",0.965,0.956,0.0037969285832981773,"[1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0
 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1
 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0]",0.9475
30,0.1,0.75,"[1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0
 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0
 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0]",0.965,0.9559166666666667,0.002775137634224448,"[1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0
 1 0 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1
 0 1 1 0 0 1 1 0 1 1 0 1 0 1 1 0 1 0 0 0 1]",0.95
30,0.1,0.9,"[0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0
 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1]",0.965,0.9569166666666666,0.0033343748372904394,"[1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0
 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 1 1
 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1]",0.95
30,0.15,0.6,"[0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 0 0
 0 1 1 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0
 1 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0]",0.965,0.9558333333333333,0.002838231060987735,"[0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0
 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1
 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1]",0.95
30,0.15,0.75,"[1 1 1 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 0
 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0
 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 1]",0.965,0.956583333333333,0.002991887178502713,"[1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 0
 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1
 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 1 0 0 1]",0.95
30,0.15,0.9,"[1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0
 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 1 1
 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0]",0.965,0.9564166666666665,0.003909568035246636,"[0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1
 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 0 0 1
 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1]",0.9475
30,0.2,0.6,"[0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1
 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0
 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0]",0.9675,0.9565833333333333,0.0037905218051813897,"[0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 1
 1 1 1 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 1 0]",0.9475
30,0.2,0.75,"[1 0 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0
 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 0 0 0
 1 1 0 1 1 0 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0]",0.9675,0.9565,0.003628590176179538,"[0 1 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1
 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0
 0 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1]",0.95
30,0.2,0.9,"[1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0
 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 1
 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0]",0.965,0.9556666666666664,0.0034115815817431193,"[1 1 0 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1 1
 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 1 0 1
 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1]",0.9475
